           wavelength     intg_flux      intg_err    gauss_flux     gauss_err           eqw       eqw_err  ion       latex_label profile_label pixel_mask           w1           w2           w3           w4           w5           w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont     snr_line  snr_cont    z_line           amp        center      sigma       amp_err  center_err  sigma_err        v_r     v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr   pixel_vel  FWHM_intg      FWHM_g         FWZI  v_med  v_50  v_5  v_10  v_90  v_95      chisqr    redchi        aic        bic observations comments  eqw_gaussian  eqw_gaussian_err
Ne5_3427A      3427.0 -3.749230e-20  5.269722e-20  7.972022e-20  1.012147e-19    -18.331140     26.273566  Ne5    $[NeV]3427\AA$            no         no  3399.670185  3415.504433  3418.530193  3429.601662  3431.155588  3440.252140  29618.622038  29672.424584  29636.556234  5.905311e-21  2.441214e-21  2.643535e-21  1.069457e-23 -3.145089e-19    -5.790038  0.923466  7.647959  4.156917e-21  29641.954685   7.650807  2.354518e-20   35.278873  37.013288  54.608737  356.868047   77.392740     374.412755       2.029830          NaN  181.415422        NaN  182.245976   362.831263    NaN   NaN  NaN   NaN   NaN   NaN   74.612098  4.663256  31.989410  34.822727           no       no     32.655974         54.493105
O2_3727A       3727.0  2.655284e-19  6.367267e-20  3.633509e-19  1.054333e-19    127.933153     16.675201   O2    $[OII]3727\AA$            no         no  3701.553717  3711.944472  3717.000000  3745.000000  3756.000000  3769.000000  32220.139669  32327.728948  32291.865950  9.679568e-21  2.182675e-21  2.544943e-21 -5.470133e-24  1.788235e-19    27.884884  0.857652  7.664305  8.161946e-21  32285.184472  17.759985  2.501241e-21    5.967498   5.897384 -62.029759   55.401287  164.880824      54.750359       2.279635          NaN  166.473021        NaN  388.264668   832.368435    NaN   NaN  NaN   NaN   NaN   NaN  143.834411  5.993100  51.166298  55.053809           no       no    166.470455        200.020634
Ne3_3870A      3870.0  7.390376e-19  4.931707e-20  6.904896e-19  7.161338e-20    406.785338     56.142441  Ne3  $[NeIII]3870\AA$            no         no  3836.751746  3858.551042  3862.724063  3876.597761  3893.739362  3910.234890  33475.291514  33582.869873  33511.151080  2.502189e-20  1.854149e-21  1.609559e-21 -1.185471e-24  4.158064e-20   162.335953  1.151961  7.659212  2.292804e-20  33512.279609  12.014351  2.708078e-21    1.445741   1.146231  10.095877   12.933677  107.480995      10.254242       2.029830          NaN  160.400368        NaN  253.098401   802.001843    NaN   NaN  NaN   NaN   NaN   NaN  104.109868  4.164395  42.770783  46.767397           no       no    372.402434        325.576053
H1_3890A       3890.0  2.789837e-19  3.813309e-20  2.811079e-19  6.554952e-20    156.179122     11.188915   H1       $HI3890\AA$            no         no  3842.087829  3861.282614  3882.869463  3893.924397  3907.927313  3934.459155  33636.658669  33726.306089  33672.517723  9.532098e-21  1.809422e-21  1.811639e-21 -1.051001e-25  5.348409e-21    62.868253  0.998776  7.656174  9.267211e-21  33680.506906  12.101357  2.695285e-21    2.983774   4.139722  71.129129   26.565076  107.740550      36.856690       9.082224          NaN  159.629408        NaN  253.709607   638.518146    NaN   NaN  NaN   NaN   NaN   NaN  105.557921  3.909553  43.741873  47.945465           no       no    155.357844        159.711053
H1_3971A       3971.0  3.630038e-19  3.966621e-20  3.756101e-19  5.347397e-20    331.054586     69.286496   H1       $HI3971\AA$            no         no  3904.771650  3928.475088  3962.153343  3976.592758  3986.471057  4012.995105  34318.377177  34444.292537  34372.579165  9.616242e-21  1.149412e-21  1.387039e-21 -8.991858e-25  3.205675e-20    92.528957  0.828681  7.655900  8.901241e-21  34374.990835  16.834367  1.265176e-21    2.814242   2.662871  21.034222   24.545392  146.826810      23.225162       9.082224          NaN  156.887829        NaN  345.750716   941.846909    NaN   NaN  NaN   NaN   NaN   NaN   84.067981  2.627124  36.669720  41.335764           no       no    326.784565        397.078113
H1_4103A       4103.0  3.386909e-19  3.947445e-20  3.508976e-19  4.808583e-20    235.433729     28.970496   H1       $HI4103\AA$            no         no  4070.660875  4086.427267  4095.935564  4108.433334  4114.891624  4130.417691  35484.077881  35591.635365  35537.856781  1.028971e-20  1.470837e-21  1.002691e-21  1.297505e-24 -4.463971e-20   127.669549  1.466889  7.661432  1.016156e-20  35529.636407  13.776227  1.533613e-21    2.134832   2.290231 -69.345939   18.009148  116.214354      19.320071       9.082224          NaN  151.223349        NaN  273.663890   756.117490    NaN   NaN  NaN   NaN   NaN   NaN   41.687909  2.084395  19.678489  23.084972           no       no    238.570011        165.890028
H1_4342A       4342.0  6.365867e-19  4.083971e-20  6.721607e-19  6.523740e-20    445.041887     66.563941   H1       $HI4342\AA$            no         no  4315.072483  4330.641395  4333.003631  4346.968950  4349.425632  4361.725002  37546.208644  37653.739953  37599.974487  1.556792e-20  1.498417e-21  1.477388e-21  3.326200e-24 -1.235666e-19   152.341429  1.014234  7.659598  1.530694e-20  37592.174312  17.518414  1.611994e-21    1.983321   1.867409 -62.192426   15.813435  139.677976      14.889239       9.082224          NaN  142.895103        NaN  328.916497   714.475516    NaN   NaN  NaN   NaN   NaN   NaN   66.444415  3.322221  30.400045  33.806527           no       no    448.580535        444.422794
O3_4364A       4364.0  2.958330e-19  3.670661e-20  2.840173e-19  5.035879e-20    253.235622     26.412050   O3   $[OIII]4364\AA$            no         no  4312.854801  4332.973909  4356.886082  4372.721331  4384.388620  4405.111633  37743.348220  37868.798012  37797.112672  9.086171e-21  1.199539e-21  1.347545e-21  7.235256e-25 -2.614764e-20    77.617281  0.890167  7.661117  7.482456e-21  37796.336709  15.142956  1.516409e-21    3.077045   3.050198  -6.154650   24.405959  120.108225      24.193025       2.279635          NaN  142.145783        NaN  282.833255   852.875714    NaN   NaN  NaN   NaN   NaN   NaN   96.969609  3.729600  41.005952  45.107839           no       no    236.772043        269.279040
H1_4863A       4863.0  1.528043e-18  5.124704e-20  1.502409e-18  7.855900e-20   3104.109611   5423.120165   H1       $HI4863\AA$            no         no  4811.064549  4826.251995  4848.216724  4867.605116  4895.583928  4915.777922  42008.214613           NaN  42097.763670  2.850733e-20  6.380460e-22  1.412976e-21 -3.259778e-25  1.436098e-20   326.065137  0.451562  7.656748  2.986788e-20  42106.983210  20.067529  1.947778e-21    1.170399   1.120617  65.655479    8.334806  142.907683       7.980291       9.082224          NaN  127.541446        NaN  336.521877  1020.329983    NaN   NaN  NaN   NaN   NaN   NaN   93.531832  3.464142  40.113133  44.316726           no       no   2354.703266       5216.029132
O3_4960A       4960.0  3.034726e-18  5.858028e-20  3.063173e-18  7.993832e-20   2106.012611    579.382060   O3   $[OIII]4960\AA$            no         no  4921.583993  4943.191388  4950.874017  4968.159934  4974.488765  4992.206945  42885.734495  43011.083234  42957.362696  7.315961e-20  1.546743e-21  1.253254e-21 -1.338315e-24  5.903721e-20   807.158920  1.234182  7.660759  7.327336e-20  42953.580748  16.677672  2.350438e-21    0.482683   0.420346 -26.393598    3.368565  116.390767       2.933530       2.279635          NaN  124.969581        NaN  274.079312   749.819927    NaN   NaN  NaN   NaN   NaN   NaN   61.312630  2.270838  27.443654  31.647247           no       no   1980.402045       1605.459843
