                      SOURCEID  redshift    visit   disp      SRCNAME                                                                                                                                path
18_Visit_1_G235M            18       NaN  Visit_1  G235M     2736_-18       /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/18/G235M_Visit_1_s00018_x1d_masked_bpx.fits
18_Visit_1_G395M            18       NaN  Visit_1  G395M     2736_-18       /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/18/G395M_Visit_1_s00018_x1d_masked_bpx.fits
18_Visit_2_G235M            18       NaN  Visit_2  G235M     2736_-18       /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/18/G235M_Visit_2_s00018_x1d_masked_bpx.fits
18_Visit_2_G395M            18       NaN  Visit_2  G395M     2736_-18       /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/18/G395M_Visit_2_s00018_x1d_masked_bpx.fits
1917_Visit_1_G235M        1917  1.242606  Visit_1  G235M    2736_1917     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/1917/G235M_Visit_1_s01917_x1d_masked_bpx.fits
1917_Visit_1_G395M        1917  1.242606  Visit_1  G395M    2736_1917     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/1917/G395M_Visit_1_s01917_x1d_masked_bpx.fits
1917_Visit_2_G235M        1917  1.243329  Visit_2  G235M    2736_1917     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/1917/G235M_Visit_2_s01917_x1d_masked_bpx.fits
1917_Visit_2_G395M        1917  1.242513  Visit_2  G395M    2736_1917     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/1917/G395M_Visit_2_s01917_x1d_masked_bpx.fits
2038_Visit_1_G235M        2038       NaN  Visit_1  G235M    2736_2038     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/2038/G235M_Visit_1_s02038_x1d_masked_bpx.fits
2038_Visit_1_G395M        2038       NaN  Visit_1  G395M    2736_2038     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/2038/G395M_Visit_1_s02038_x1d_masked_bpx.fits
2038_Visit_2_G235M        2038       NaN  Visit_2  G235M    2736_2038     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/2038/G235M_Visit_2_s02038_x1d_masked_bpx.fits
2038_Visit_2_G395M        2038       NaN  Visit_2  G395M    2736_2038     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/2038/G395M_Visit_2_s02038_x1d_masked_bpx.fits
2572_Visit_1_G235M        2572       NaN  Visit_1  G235M    2736_2572     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/2572/G235M_Visit_1_s02572_x1d_masked_bpx.fits
2572_Visit_1_G395M        2572       NaN  Visit_1  G395M    2736_2572     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/2572/G395M_Visit_1_s02572_x1d_masked_bpx.fits
2572_Visit_2_G235M        2572       NaN  Visit_2  G235M    2736_2572     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/2572/G235M_Visit_2_s02572_x1d_masked_bpx.fits
2572_Visit_2_G395M        2572       NaN  Visit_2  G395M    2736_2572     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/2572/G395M_Visit_2_s02572_x1d_masked_bpx.fits
2653_Visit_1_G235M        2653       NaN  Visit_1  G235M    2736_2653     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/2653/G235M_Visit_1_s02653_x1d_masked_bpx.fits
2653_Visit_1_G395M        2653       NaN  Visit_1  G395M    2736_2653     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/2653/G395M_Visit_1_s02653_x1d_masked_bpx.fits
2653_Visit_2_G235M        2653       NaN  Visit_2  G235M    2736_2653     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/2653/G235M_Visit_2_s02653_x1d_masked_bpx.fits
2653_Visit_2_G395M        2653       NaN  Visit_2  G395M    2736_2653     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/2653/G395M_Visit_2_s02653_x1d_masked_bpx.fits
3042_Visit_1_G235M        3042  1.993636  Visit_1  G235M    2736_3042     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/3042/G235M_Visit_1_s03042_x1d_masked_bpx.fits
3042_Visit_1_G395M        3042  1.993870  Visit_1  G395M    2736_3042     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/3042/G395M_Visit_1_s03042_x1d_masked_bpx.fits
3042_Visit_2_G235M        3042  1.992837  Visit_2  G235M    2736_3042     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/3042/G235M_Visit_2_s03042_x1d_masked_bpx.fits
3042_Visit_2_G395M        3042  1.993870  Visit_2  G395M    2736_3042     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/3042/G395M_Visit_2_s03042_x1d_masked_bpx.fits
3772_Visit_1_G235M        3772  0.422311  Visit_1  G235M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/3772/G235M_Visit_1_s03772_x1d_masked_bpx.fits
3772_Visit_1_G395M        3772  0.422669  Visit_1  G395M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/3772/G395M_Visit_1_s03772_x1d_masked_bpx.fits
3772_Visit_2_G235M        3772  0.422214  Visit_2  G235M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/3772/G235M_Visit_2_s03772_x1d_masked_bpx.fits
3772_Visit_2_G395M        3772  0.422175  Visit_2  G395M    2736_3772     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_2/3772/G395M_Visit_2_s03772_x1d_masked_bpx.fits
4580_Visit_1_G235M        4580  5.171302  Visit_1  G235M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_1/4580/G235M_Visit_1_s04580_x1d_masked_bpx.fits
4580_Visit_1_G395M        4580  5.171127  Visit_1  G395M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G395M/Visit_1/4580/G395M_Visit_1_s04580_x1d_masked_bpx.fits
4580_Visit_2_G235M        4580  2.794424  Visit_2  G235M    2736_4580     /mnt/AstroData/Observations/SMACS_Nirspec_v6/S3_out_clean_custom_pl/G235M/Visit_2/4580/G235M_Visit_2_s04580_x1d_masked_bpx.fits
