           wavelength     intg_flux      intg_err    gauss_flux     gauss_err          eqw     eqw_err  ion      latex_label      profile_label pixel_mask           w1           w2           w3           w4           w5           w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont     snr_line   snr_cont    z_line           amp        center      sigma       amp_err  center_err  sigma_err        v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr   pixel_vel    FWHM_intg      FWHM_g         FWZI       v_med       v_50         v_5       v_10       v_90        v_95      chisqr    redchi        aic        bic observations comments  eqw_gaussian  eqw_gaussian_err
H1_4863A       4863.0  1.597247e-17  4.096443e-19  1.608913e-17  6.664798e-19   234.793809    7.280841   H1      $HI4863\AA$                 no         no  4795.890918  4841.194532  4850.652593  4875.718542  4884.303969  4923.520863  18150.225266  18224.987782  18192.946795  6.830575e-19  6.833146e-20  1.487092e-20 -1.562320e-23  3.525635e-19   339.651932   4.594971  2.741095  6.174845e-19  18191.682670  10.394809  3.049189e-20    0.489356   0.423036 -20.830871   8.063859  171.290854       6.971002       9.082224          NaN  175.996043          NaN  403.359136  1055.978515         NaN        NaN         NaN        NaN        NaN         NaN  144.423501  3.703167  57.873375  63.086383           no       no    235.457138         52.162355
O3_4960A       4960.0  3.213166e-17  4.032811e-19  3.211687e-17  9.945258e-19   540.941139   36.354531   O3  $[OIII]4960\AA$                 no         no  4923.679850  4944.558876  4949.960644  4970.474384  4971.724624  4991.443689  18524.030220  18598.788857  18556.069735  1.280308e-18  5.985633e-20  1.474410e-20 -2.350753e-23  4.960637e-19   770.495063   4.059679  2.741143  1.314764e-18  18557.679336   9.745304  4.916590e-20    0.335061   0.272634  26.004772   5.413256  157.445438       4.404690       2.279635          NaN  172.543278          NaN  370.755673  1035.260469         NaN        NaN         NaN        NaN        NaN         NaN  135.321718  6.443891  47.510429  51.044590           no       no    536.565974        133.209787
O3_5008A       5008.0  9.317777e-17  6.306011e-19  9.283126e-17  1.324120e-18  1537.395803  127.722223   O3  $[OIII]5008\AA$                 no         no  4970.308006  4990.457303  4995.348943  5024.303156  5028.257983  5055.714399  18694.905906  18801.701015  18737.624155  3.762558e-18  6.094084e-20  1.294563e-20  2.998195e-24  4.761793e-21  2170.165564   4.707446  2.741538  3.638859e-18  18735.969284  10.177453  6.478035e-20    0.152031   0.120231 -26.477098   2.432425  162.834070       1.923632       2.279635          NaN  170.866742          NaN  383.444931  1537.801919         NaN        NaN         NaN        NaN        NaN         NaN  122.697168  4.719122  47.830280  51.932167           no       no   1523.301287        324.322726
He1_5877A      5877.0  1.753811e-18  1.836198e-19  2.102764e-18  3.133767e-19    41.113133    2.823247  He1     $HeI5877\AA$                 no         no  5836.500252  5860.762529  5863.849263  5892.215944  5907.011858  5933.685304  21952.158734  22037.540571  21994.849874  1.003356e-19  4.253628e-20  1.052602e-20 -4.574777e-23  1.048752e-18    50.236823   4.041059  2.742530  5.670596e-20  21990.031984  14.793536  1.004644e-20    2.506002   2.502266 -65.668430  34.157108  201.637675      34.106188       4.557702          NaN  145.470592          NaN  474.820438  1018.295471         NaN        NaN         NaN        NaN        NaN         NaN  123.514034  4.411216  48.853395  53.155357           no       no     49.434600         14.280231
O1_6300A       6300.0  2.603582e-19  1.165241e-19  5.369362e-19  2.169078e-19     6.491214    2.680384   O1    $[OI]6300\AA$                 no         no  6239.590554  6280.906211  6294.754436  6307.155360  6321.361125  6361.816038  23563.424895  23606.097891  23574.093193  6.607513e-20  3.941867e-20  8.679172e-21 -1.036645e-23  2.837984e-19    12.246649   4.541754  2.741920  3.198776e-20  23579.024005   6.696517  1.894661e-20    2.651919   4.967241  62.705286  33.724538   85.159812      63.168560       2.279635          NaN  135.668653          NaN  200.536033   407.005959         NaN        NaN         NaN        NaN        NaN         NaN  164.654555  4.842781  61.238475  66.071229           no       no     13.621368          6.266913
H1_6565A       6565.0  5.257349e-17  4.041603e-19  5.024316e-17  6.218883e-19  1354.931377   16.770761   H1      $HI6565\AA$  H1_6565A-N2_6585A         no  6459.366261  6525.407715  6535.100000  6600.950000  6607.729035  6661.356949  24470.349927  24672.987604  24555.672602  1.756827e-18  3.708170e-20  6.314141e-21 -6.849280e-25  5.390057e-20  1699.600684   5.872802  2.740841  1.777226e-18  24558.620918  11.278321  2.747302e-20    0.149495   0.123250 -55.850462   1.824584  137.651279       1.504263       9.082224          NaN  130.206907  1302.092732  324.143990  2343.735987  130.207774 -24.855772 -258.806112 -220.47072  191.46149  270.287902  195.763833  3.209243  83.838497  97.066653           no       no   1354.931408        231.321677
N2_6585A       6585.0  5.257349e-17  4.041603e-19  1.757644e-18  2.245468e-19    47.399216    6.055462   N2   $[NII]6585\AA$  H1_6565A-N2_6585A         no  6459.366261  6525.407715  6535.100000  6600.950000  6607.729035  6661.356949  24470.349927  24672.987604  24555.672602  1.756827e-18  3.708170e-20  6.314141e-21 -6.849280e-25  5.390057e-20  1699.600684   5.872802  2.741159  5.327015e-20  24635.533120  13.163064  7.350210e-21    1.949031   1.897493 -30.354105  23.715566  160.166521      23.088456       2.436390          NaN  130.206907  1302.092732  377.163334  2343.735987  130.207774 -24.855772 -258.806112 -220.47072  191.46149  270.287902  195.763833  3.209243  83.838497  97.066653           no       no     47.399229         10.090056
He1_6680A      6680.0  1.522434e-19  1.205142e-19  3.191277e-19  8.033524e-20     3.910554    3.052582  He1     $HeI6680\AA$                 no         no  6633.949212  6653.539437  6671.978578  6688.905073  6690.430522  6701.681741  24971.588147  25014.243059  24982.251929  5.567754e-20  3.756624e-20  3.123687e-21  5.160387e-24 -9.135185e-20    18.421373  12.026250  2.739858  2.173357e-20  24986.382312   5.857921  1.222703e-20    1.968067   3.767063  49.565489  23.617231   70.296324      45.205572       4.557702          NaN  127.966619          NaN  165.535192   383.901822         NaN        NaN         NaN        NaN        NaN         NaN   14.380377  0.898774   0.707087   3.540404           no       no      8.495066          2.252139
S2_6718A       6718.0  3.158692e-18  1.641097e-19  1.680659e-18  1.906628e-19    45.688230    5.183115   S2   $[SII]6718\AA$  S2_6718A-S2_6733A         no  6688.405302  6703.824828  6706.258471  6742.100910  6745.982884  6788.874189  25099.551133  25216.845899  25131.541056  9.633456e-20  3.678537e-20  7.584637e-21 -7.635680e-24  2.286818e-19   115.504997   4.849985  2.741257  6.641631e-20  25133.761783  10.095198  8.165520e-21    1.331103   1.276591 -22.547970  15.876039  120.405239      15.225877       1.610217          NaN  127.199904          NaN  283.532671  1272.003438         NaN        NaN         NaN        NaN        NaN         NaN   91.060059  3.140002  45.465992  54.798081           no       no     45.688245         10.752046
S2_6733A       6733.0  3.158692e-18  1.641097e-19  1.433241e-18  1.800196e-19    38.962266    4.893781   S2   $[SII]6733\AA$  S2_6718A-S2_6733A         no  6688.405302  6703.824828  6706.258471  6742.100910  6745.982884  6788.874189  25099.551133  25216.845899  25131.541056  9.633456e-20  3.678537e-20  7.584637e-21 -7.635680e-24  2.286818e-19   115.504997   4.849985  2.741032  6.288887e-20  25188.369462   9.091921  8.395365e-21    1.337680   1.250728 -40.531513  15.918935  108.197594      14.884171       1.610217          NaN  127.199904          NaN  254.785862  1272.003438         NaN        NaN         NaN        NaN        NaN         NaN   91.060059  3.140002  45.465992  54.798081           no       no     38.962256          9.406696
