           wavelength     intg_flux      intg_err    gauss_flux     gauss_err          eqw     eqw_err  ion       latex_label               profile_label pixel_mask           w1           w2           w3           w4           w5           w6           w_i           w_f     peak_wave     peak_flux          cont      std_cont        m_cont        n_cont     snr_line  snr_cont    z_line           amp        center      sigma       amp_err  center_err  sigma_err        v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr   pixel_vel  FWHM_intg      FWHM_g         FWZI       v_med       v_50         v_5        v_10        v_90        v_95      chisqr    redchi        aic        bic observations comments  eqw_gaussian  eqw_gaussian_err
H1_4863A       4863.0  1.643964e-17  3.899821e-19  1.669316e-17  6.265739e-19   254.549509   10.041712   H1       $HI4863\AA$                          no         no  4816.790792  4845.313355  4851.652856  4876.214128  4895.940905  4920.185084  18156.941552  18231.931053  18189.209760  6.766751e-19  6.465134e-20  1.432859e-20  6.855095e-24 -6.003741e-20   382.443816  4.512053  2.740327  6.819940e-19  18192.310502   9.764903  3.066506e-20    0.414201   0.352985  51.106064   6.826814  160.944004       5.817854       9.082224          NaN  176.499942        NaN  378.994167  1059.936830         NaN        NaN         NaN         NaN         NaN         NaN   90.200652  3.340765  39.025178  43.228770           no       no    258.202846         58.040027
O3_4960A       4960.0  3.295682e-17  4.288783e-19  3.303707e-17  7.544615e-19   560.979077   41.437553   O3   $[OIII]4960\AA$                          no         no  4927.599176  4947.184444  4948.310671  4970.712011  4976.088874  4993.234323  18520.293246  18595.051898  18563.012575  1.216069e-18  5.913741e-20  1.335582e-20 -2.802132e-23  5.792974e-19   872.428045  4.427837  2.742543  1.317687e-18  18557.025005  10.002288  3.723463e-20    0.251026   0.213894 -96.699187   4.054067  161.536851       3.454380       2.279635          NaN  172.478778        NaN  380.390215  1034.873468         NaN        NaN         NaN         NaN         NaN         NaN   73.828794  3.691440  32.823856  36.230338           no       no    558.649254        126.810873
O3_5008A       5008.0  9.626111e-17  6.549766e-19  9.563196e-17  1.547896e-18  1674.631222  169.995866   O3   $[OIII]5008\AA$                          no         no  4969.723368  4993.390336  4993.971690  5021.391886  5027.044437  5044.214549  18691.168966  18787.284661  18733.887224  3.674253e-18  5.852128e-20  1.729163e-20  2.440049e-23 -3.985948e-19  1760.414575  3.384371  2.740792  3.713777e-18  18736.458026  10.273000  7.537838e-20    0.173442   0.138011  41.139728   2.775539  164.395560       2.208543       2.279635          NaN  170.900999        NaN  387.121961  1367.209089         NaN        NaN         NaN         NaN         NaN         NaN  139.176651  6.051159  49.618834  53.393124           no       no   1634.139923        483.572941
He1_5877A      5877.0  1.582174e-18  1.549687e-19  1.671906e-18  2.806783e-19    34.213289    1.823722  He1      $HeI5877\AA$                          no         no  5843.380663  5862.474247  5869.003275  5884.459763  5887.856104  5911.638726  21959.095463  22012.459203  21991.113790  1.209271e-19  4.609088e-20  1.103335e-20 -2.457329e-24  1.001303e-19    54.199816  4.177413  2.741894  7.639954e-20  21987.041819   8.730341  1.510849e-20    1.713668   1.679916 -55.510886  23.361471  119.015824      22.901345       4.557702          NaN  145.495366        NaN  280.260848   581.982975         NaN        NaN         NaN         NaN         NaN         NaN  106.683044  5.080145  41.803402  45.337563           no       no     36.274118         10.605910
O1_6300A       6300.0  1.370753e-18  1.453690e-19  1.351483e-18  1.669494e-19    36.481963    2.237398   O1     $[OI]6300\AA$                          no         no  6258.908351  6282.666260  6290.837567  6311.724329  6318.698677  6338.913533  23538.352818  23613.030712  23570.357824  8.761474e-20  3.747171e-20  6.119075e-21  7.627018e-24 -1.422998e-19    79.200585  6.123753  2.741327  5.561291e-20  23573.838681   9.694940  7.252090e-21    1.406795   1.329027  44.273179  17.893087  123.310384      16.903958       2.279635          NaN  135.690221        NaN  290.373764   814.142561         NaN        NaN         NaN         NaN         NaN         NaN   42.637191  1.938054  19.346277  23.002904           no       no     36.066755          7.384988
H1_6565A       6565.0  5.813890e-17  4.070845e-19  5.482730e-17  7.242791e-19  1455.539206   19.227951   H1       $HI6565\AA$  H1_6565A-N2_6585A-N2_6550A         no  6491.472765  6530.501858  6536.389980  6601.670173  6619.246261  6649.874613  24477.280458  24701.247062  24562.602901  1.934877e-18  3.766803e-20  7.594586e-21  3.665655e-24 -5.236999e-20  1562.633245  4.959853  2.740920  1.980013e-18  24559.140822  11.046860  3.252029e-20    0.157105   0.129435  10.270575   1.917843  134.853203       1.580062       9.082224          NaN  130.170243  260.34179  317.555026  2603.400596  260.340931 -97.694557 -355.871161 -288.610143  111.912775  270.107198  185.639195  4.125315  77.890947  89.481900           no       no   1455.539353        294.093452
N2_6585A       6585.0  5.813890e-17  4.070845e-19  2.217242e-18  2.533325e-19    58.862689    6.725397   N2    $[NII]6585\AA$  H1_6565A-N2_6585A-N2_6550A         no  6491.472765  6530.501858  6536.389980  6601.670173  6619.246261  6649.874613  24477.280458  24701.247062  24562.602901  1.934877e-18  3.766803e-20  7.594586e-21  3.665655e-24 -5.236999e-20  1562.633245  4.959853  2.741571  5.747183e-20  24638.242473  15.391045  6.652875e-21    2.052145   1.978183  62.399001  24.975226  187.313665      24.075088       2.436390          NaN  130.170243  260.34179  441.089974  2603.400596  260.340931 -97.694557 -355.871161 -288.610143  111.912775  270.107198  185.639195  4.125315  77.890947  89.481900           no       no     58.862701         13.640983
N2_6550A       6550.0  5.813890e-17  4.070845e-19  7.501554e-19  1.297565e-19    19.914907    0.000000   N2    $[NII]6550\AA$  H1_6565A-N2_6585A-N2_6550A         no  6491.472765  6530.501858  6536.389980  6601.670173  6619.246261  6649.874613  24477.280458  24701.247062  24562.602901  1.934877e-18  3.766803e-20  7.594586e-21  3.665655e-24 -5.236999e-20  1562.633245  4.959853  2.741571  1.954824e-20  24507.287504  15.309240  2.262883e-21    2.041238   1.967669  62.399031  24.975226  187.313665      24.075088       2.436390          NaN  130.170243  260.34179  441.089974  2603.400596  260.340931 -97.694557 -355.871161 -288.610143  111.912775  270.107198  185.639195  4.125315  77.890947  89.481900           no       no     19.914909          5.290390
He1_6680A      6680.0  7.385827e-19  9.501239e-20  7.144079e-19  1.678749e-19    23.527074    1.722198  He1      $HeI6680\AA$                          no         no  6653.907362  6674.262626  6676.744975  6686.674372  6692.202680  6709.479802  24978.517291  25021.172083  24999.844760  5.814823e-20  3.133925e-20  5.351547e-21  5.614951e-23 -1.372390e-18    61.721262  5.856112  2.742492  2.407850e-20  25000.638392  11.836600  5.689074e-21    3.174924   3.271199   9.517060  38.072970  141.941812      39.227480       4.557702          NaN  127.876642        NaN  334.247425   383.630581         NaN        NaN         NaN         NaN         NaN         NaN   43.595710  2.564454  21.584529  24.571726           no       no     22.795948          6.621718
S2_6718A       6718.0  3.523261e-18  1.731317e-19  1.903274e-18  1.799412e-19    53.208763    5.030517   S2    $[SII]6718\AA$           S2_6718A-S2_6733A         no  6690.312195  6703.032752  6706.464164  6746.370685  6752.718328  6789.851586  25095.816563  25223.774346  25138.469747  9.975910e-20  3.576993e-20  6.382727e-21 -9.572870e-24  2.764172e-19   142.525621  5.604176  2.741427  6.657363e-20  25134.908272  11.405362  6.977114e-21    1.274562   1.175172  50.909928  15.204706  136.058665      14.019055       1.610217          NaN  127.164481        NaN  320.393672  1398.816551         NaN        NaN         NaN         NaN         NaN         NaN   74.838498  2.580638  38.599453  47.931541           no       no     53.208771         10.744828
S2_6733A       6733.0  3.523261e-18  1.731317e-19  1.628648e-18  1.810728e-19    45.531206    5.062152   S2    $[SII]6733\AA$           S2_6718A-S2_6733A         no  6690.312195  6703.032752  6706.464164  6746.370685  6752.718328  6789.851586  25095.816563  25223.774346  25138.469747  9.975910e-20  3.576993e-20  6.382727e-21 -9.572870e-24  2.764172e-19   142.525621  5.604176  2.741272  5.355292e-20  25189.984717  12.132606  6.454123e-21    1.530986   1.620128  38.471953  18.222995  144.411783      19.284035       1.610217          NaN  127.164481        NaN  340.063761  1398.816551         NaN        NaN         NaN         NaN         NaN         NaN   74.838498  2.580638  38.599453  47.931541           no       no     45.531205          9.572517
Ar3_7138A      7138.0  7.402284e-19  1.162745e-19  9.615592e-19  1.810727e-19    24.957907    2.644701  Ar3  $[ArIII]7138\AA$                          no         no  7108.984060  7127.640679  7132.000000  7148.000000  7149.795414  7158.735044  26684.477552  26727.107626  26705.792671  6.174158e-20  2.967985e-20  6.257911e-21 -2.658252e-23  7.395872e-19    44.708212  4.742772  2.741355  3.770693e-20  26705.047986  10.173372  6.836291e-21    2.232167   2.172820  -8.359644  25.057740  114.203690      24.391531       1.443953          NaN  119.638138        NaN  268.929138   358.916491         NaN        NaN         NaN         NaN         NaN         NaN   44.890934  3.206495  22.507383  25.007023           no       no     32.397711          9.158745
